datetime,Scalar_B_nT,SW_Plasma_Speed_kmps,R_Sunspot_No,f10_7_index
2024-10-04 00:00:00+00:00,7.0,348.0,211,291.1
2024-10-04 01:00:00+00:00,8.1,381.0,211,291.1
2024-10-04 02:00:00+00:00,8.3,380.0,211,291.1
2024-10-04 03:00:00+00:00,8.3,373.0,211,291.1
2024-10-04 04:00:00+00:00,8.0,361.0,211,291.1
2024-10-04 05:00:00+00:00,8.1,360.0,211,291.1
2024-10-04 06:00:00+00:00,8.0,352.0,211,291.1
2024-10-04 07:00:00+00:00,7.8,369.0,211,291.1
2024-10-04 08:00:00+00:00,7.4,371.0,211,291.1
2024-10-04 09:00:00+00:00,7.6,376.0,211,291.1
2024-10-04 10:00:00+00:00,7.2,374.0,211,291.1
2024-10-04 11:00:00+00:00,7.0,353.0,211,291.1
2024-10-04 12:00:00+00:00,7.7,361.0,211,291.1
2024-10-04 13:00:00+00:00,7.7,382.0,211,291.1
2024-10-04 14:00:00+00:00,7.7,398.0,211,291.1
2024-10-04 15:00:00+00:00,7.6,373.0,211,291.1
2024-10-04 16:00:00+00:00,8.0,387.0,211,291.1
2024-10-04 17:00:00+00:00,7.7,383.0,211,291.1
2024-10-04 18:00:00+00:00,7.5,368.0,211,291.1
2024-10-04 19:00:00+00:00,7.4,390.0,211,291.1
2024-10-04 20:00:00+00:00,7.0,393.0,211,291.1
2024-10-04 21:00:00+00:00,7.3,393.0,211,291.1
2024-10-04 22:00:00+00:00,7.1,388.0,211,291.1
2024-10-04 23:00:00+00:00,7.0,371.0,211,291.1
2024-10-05 00:00:00+00:00,6.9,378.0,182,277.1
2024-10-05 01:00:00+00:00,7.2,384.0,182,277.1
2024-10-05 02:00:00+00:00,7.3,356.0,182,277.1
2024-10-05 03:00:00+00:00,7.1,357.0,182,277.1
2024-10-05 04:00:00+00:00,7.0,364.0,182,277.1
2024-10-05 05:00:00+00:00,8.1,383.0,182,277.1
2024-10-05 06:00:00+00:00,8.3,382.0,182,277.1
2024-10-05 07:00:00+00:00,7.9,366.0,182,277.1
2024-10-05 08:00:00+00:00,8.3,371.0,182,277.1
2024-10-05 09:00:00+00:00,8.4,351.0,182,277.1
2024-10-05 10:00:00+00:00,8.1,354.0,182,277.1
2024-10-05 11:00:00+00:00,8.0,386.0,182,277.1
2024-10-05 12:00:00+00:00,7.4,387.0,182,277.1
2024-10-05 13:00:00+00:00,7.0,373.0,182,277.1
2024-10-05 14:00:00+00:00,6.2,389.0,182,277.1
2024-10-05 15:00:00+00:00,6.1,389.0,182,277.1
2024-10-05 16:00:00+00:00,6.8,396.0,182,277.1
2024-10-05 17:00:00+00:00,6.9,397.0,182,277.1
2024-10-05 18:00:00+00:00,6.9,386.0,182,277.1
2024-10-05 19:00:00+00:00,7.1,393.0,182,277.1
2024-10-05 20:00:00+00:00,7.6,391.0,182,277.1
2024-10-05 21:00:00+00:00,7.6,391.0,182,277.1
2024-10-05 22:00:00+00:00,7.9,385.0,182,277.1
2024-10-05 23:00:00+00:00,7.9,400.0,182,277.1
2024-10-06 00:00:00+00:00,7.9,385.0,169,264.2
2024-10-06 01:00:00+00:00,7.9,366.0,169,264.2
